Designator,Mid X,Mid Y,Rotation,Layer
D1,138.27,-95.18,90.0,top
D2,145.96,-79.19,180.0,top
J1,137.59,-68.74425,0.0,top
J2,121.47,-68.74425,0.0,top
J3,129.2725,-99.59,0.0,top
J4,114.9,-97.79,270.0,top
Q1,123.07,-81.975,90.0,top
Q2,123.044,-87.635,270.0,top
Q3,138.39,-81.955,90.0,top
Q4,138.3,-87.8,270.0,top
Q5,140.9375,-95.43,180.0,top
R1,131.4,-79.36,180.0,top
R2,131.4,-77.39,180.0,top
R3,131.39,-78.38,0.0,top
R4,128.33,-78.38,180.0,top
R5,128.34,-77.44,0.0,top
R6,144.32,-77.73,0.0,top
R7,138.25,-92.22,270.0,top
R8,139.73,-92.215,270.0,top
U1,132.03,-82.59,90.0,top
U2,128.51,-82.6025,90.0,top
